"To be, or not to be, that is the question.",Hamlet,William Shakespeare
Not all those who wander are lost.,The Fellowship of the Ring,J. R. R. Tolkien
"That's one small step for man, one giant leap for mankind.",Moon Landing 20/7/1969,Neil Armstrong
I have a dream.,March on Washington 28/8/1963,Martin Luther King Jr.
The only way to do great work is to love what you do.,Stanford Commencement Address 2005,Steve Jobs
"It was the best of times, it was the worst of times.",A Tale of Two Cities,Charles Dickens
